,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial
0,0.15,243,223,201,124822,34
0,0.18,253,223,201,187271,34
0,0.21,281,239,201,204020,34
0,0.24,323,257,201,312680,34
0,0.27,387,255,205,303586,34
0,0.3,449,245,201,351884,34
0,0.32999999999999996,437,259,203,561692,34
0,0.0,201,201,201,10201,35
0,0.03,211,211,201,15860,35
0,0.06,215,211,201,44906,35
0,0.09,215,209,201,57430,35
0,0.12,229,219,201,83244,35
0,0.15,257,233,201,93233,35
0,0.18,237,225,201,151396,35
0,0.21,297,239,201,200356,35
0,0.24,251,227,201,214261,35
0,0.27,281,243,201,232264,35
0,0.3,371,239,205,599563,35
0,0.32999999999999996,379,261,203,366479,35
0,0.0,201,201,201,10201,36
0,0.03,207,207,201,14804,36
0,0.06,217,213,201,54986,36
0,0.09,219,217,201,95404,36
0,0.12,235,225,201,106394,36
0,0.15,247,229,201,176437,36
0,0.18,275,247,201,99017,36
0,0.21,253,229,201,149626,36
0,0.24,349,265,201,214845,36
0,0.27,351,281,201,238368,36
0,0.3,413,291,205,398609,36
0,0.32999999999999996,431,259,225,538122,36
0,0.0,201,201,201,10201,37
0,0.03,207,207,201,15982,37
0,0.06,213,209,201,58563,37
0,0.09,227,219,201,56175,37
0,0.12,227,221,201,96118,37
0,0.15,275,245,201,112895,37
0,0.18,301,251,201,175759,37
0,0.21,279,247,201,170088,37
0,0.24,313,239,201,317358,37
0,0.27,331,251,201,290378,37
0,0.3,391,261,201,309494,37
0,0.32999999999999996,501,299,207,421358,37
0,0.0,201,201,201,10201,38
0,0.03,211,211,201,18643,38
0,0.06,205,205,201,39110,38
0,0.09,215,211,201,55415,38
0,0.12,233,215,201,142074,38
0,0.15,243,227,201,104868,38
0,0.18,315,255,201,125770,38
0,0.21,289,237,201,140198,38
0,0.24,333,265,201,211879,38
0,0.27,297,227,201,208271,38
0,0.3,361,265,205,372946,38
0,0.32999999999999996,483,269,207,344726,38
0,0.0,201,201,201,10201,39
0,0.03,203,203,201,47908,39
0,0.06,221,215,201,52192,39
0,0.09,227,219,201,47814,39
0,0.12,273,247,201,109418,39
0,0.15,231,221,201,116734,39
0,0.18,237,221,201,138985,39
0,0.21,289,245,201,203062,39
0,0.24,361,245,201,307854,39
0,0.27,383,281,203,361750,39
0,0.3,431,251,207,271055,39
0,0.32999999999999996,401,267,203,357515,39
0,0.0,201,201,201,10201,40
0,0.03,213,211,201,39036,40
0,0.06,209,209,201,38944,40
0,0.09,227,221,201,70136,40
0,0.12,223,217,201,36097,40
0,0.15,237,221,201,147543,40
0,0.18,255,225,201,228779,40
0,0.21,329,259,201,124211,40
0,0.24,293,235,201,228515,40
0,0.27,359,249,203,435646,40
0,0.3,339,287,203,218122,40
0,0.32999999999999996,459,259,219,453716,40
0,0.0,201,201,201,10201,41
0,0.03,203,203,201,24951,41
0,0.06,215,213,201,30850,41
0,0.09,223,221,201,50637,41
0,0.12,235,217,201,73675,41
0,0.15,265,231,201,133079,41
0,0.18,291,247,201,148016,41
0,0.21,253,231,201,172943,41
0,0.24,275,233,205,233737,41
0,0.27,307,257,201,312478,41
0,0.3,283,225,203,381552,41
0,0.32999999999999996,613,287,205,807486,41
0,0.0,201,201,201,10201,42
0,0.03,209,209,201,26631,42
0,0.06,207,207,201,24272,42
0,0.09,215,213,201,67552,42
0,0.12,245,229,201,99114,42
0,0.15,235,217,201,94775,42
0,0.18,255,233,201,168196,42
0,0.21,245,219,201,140949,42
0,0.24,319,265,201,322128,42
0,0.27,453,263,203,588929,42
0,0.3,301,239,213,334110,42
0,0.32999999999999996,447,277,213,529198,42
0,0.0,201,201,201,10201,43
0,0.03,203,203,201,26571,43
0,0.06,219,215,201,35099,43
0,0.09,225,221,201,24828,43
0,0.12,241,229,201,62919,43
0,0.15,297,245,201,137608,43
0,0.18,251,227,201,142005,43
0,0.21,251,225,203,267475,43
0,0.24,305,243,201,275792,43
0,0.27,519,289,207,466920,43
0,0.3,377,301,207,200060,43
0,0.32999999999999996,547,311,213,679302,43
0,0.0,201,201,201,10201,44
0,0.03,209,209,201,13258,44
0,0.06,215,213,201,65823,44
0,0.09,225,211,201,68600,44
0,0.12,229,223,201,98024,44
0,0.15,263,233,201,114810,44
0,0.18,259,235,201,164090,44
0,0.21,261,233,201,163066,44
0,0.24,309,229,201,216871,44
0,0.27,407,279,203,379042,44
0,0.3,381,257,201,317217,44
0,0.32999999999999996,673,307,225,438013,44
0,0.0,201,201,201,10201,45
0,0.03,203,203,201,17587,45
0,0.06,209,209,201,34216,45
0,0.09,223,219,201,40933,45
0,0.12,257,227,201,80508,45
0,0.15,283,241,201,108410,45
0,0.18,259,231,201,143288,45
0,0.21,273,245,201,178611,45
0,0.24,321,251,201,247733,45
0,0.27,401,241,201,208765,45
0,0.3,381,247,201,186275,45
0,0.32999999999999996,327,245,205,420498,45
0,0.0,201,201,201,10201,46
0,0.03,207,205,201,23484,46
0,0.06,215,213,201,71135,46
0,0.09,241,229,201,61335,46
0,0.12,241,233,201,126699,46
0,0.15,251,225,201,88582,46
0,0.18,265,243,203,177577,46
0,0.21,295,233,201,288038,46
0,0.24,279,247,201,216677,46
0,0.27,349,237,201,243139,46
0,0.3,339,267,205,418699,46
0,0.32999999999999996,429,245,203,574257,46
0,0.0,201,201,201,10201,47
0,0.03,213,213,201,19808,47
0,0.06,211,209,201,57459,47
0,0.09,213,209,201,85958,47
0,0.12,221,215,201,83774,47
0,0.15,251,227,203,156948,47
0,0.18,263,229,201,94846,47
0,0.21,305,239,201,201625,47
0,0.24,271,237,201,256800,47
0,0.27,309,239,201,206881,47
0,0.3,293,247,203,276194,47
0,0.32999999999999996,371,257,207,526217,47
0,0.0,201,201,201,10201,48
0,0.03,207,207,201,30666,48
0,0.06,227,221,201,53962,48
0,0.09,219,215,201,55510,48
0,0.12,241,217,201,90704,48
0,0.15,233,217,201,138427,48
0,0.18,239,223,201,137250,48
0,0.21,277,245,201,102721,48
0,0.24,283,233,201,173384,48
0,0.27,305,243,201,234084,48
0,0.3,467,277,201,412066,48
0,0.32999999999999996,393,253,209,443999,48
0,0.0,201,201,201,10201,49
0,0.03,205,205,201,15502,49
