,Time,Heuristic,Density,Trajectory
0,0.2924337387084961,Combined Manhattan Euclidian,0.30000000000000004,353
0,0.17260169982910156,Chebyshev,0.0,201
0,0.1552109718322754,Manhattan,0.0,201
0,0.20005297660827637,Euclidian,0.0,201
0,0.0044176578521728516,Weighted Manhattan,0.0,201
0,0.00605010986328125,Combined Chebyshev Manhattan,0.0,201
0,0.006818056106567383,Combined Chebyshev Euclidian,0.0,201
0,0.010776042938232422,Combined Manhattan Euclidian,0.0,201
0,1.2681090831756592,Chebyshev,0.1,211
0,0.6380863189697266,Manhattan,0.1,231
0,1.2941300868988037,Euclidian,0.1,211
0,0.03684687614440918,Weighted Manhattan,0.1,231
0,0.04257369041442871,Combined Chebyshev Manhattan,0.1,211
0,0.05743408203125,Combined Chebyshev Euclidian,0.1,211
0,0.05191493034362793,Combined Manhattan Euclidian,0.1,211
0,3.9312126636505127,Chebyshev,0.2,217
0,2.2258517742156982,Manhattan,0.2,267
0,3.9818029403686523,Euclidian,0.2,217
0,0.0841519832611084,Weighted Manhattan,0.2,267
0,0.12134575843811035,Combined Chebyshev Manhattan,0.2,217
0,0.14798903465270996,Combined Chebyshev Euclidian,0.2,217
0,0.13489675521850586,Combined Manhattan Euclidian,0.2,217
0,4.22390604019165,Chebyshev,0.30000000000000004,347
0,4.300299882888794,Manhattan,0.30000000000000004,413
0,4.215078353881836,Euclidian,0.30000000000000004,347
0,0.17363405227661133,Weighted Manhattan,0.30000000000000004,415
0,0.15266799926757812,Combined Chebyshev Manhattan,0.30000000000000004,347
0,0.2136058807373047,Combined Chebyshev Euclidian,0.30000000000000004,393
0,0.19663786888122559,Combined Manhattan Euclidian,0.30000000000000004,393
0,0.16005396842956543,Chebyshev,0.0,201
0,0.1509711742401123,Manhattan,0.0,201
0,0.19867396354675293,Euclidian,0.0,201
0,0.008508920669555664,Weighted Manhattan,0.0,201
0,0.008603811264038086,Combined Chebyshev Manhattan,0.0,201
0,0.006819725036621094,Combined Chebyshev Euclidian,0.0,201
0,0.00781393051147461,Combined Manhattan Euclidian,0.0,201
0,1.4552059173583984,Chebyshev,0.1,205
0,1.3138201236724854,Manhattan,0.1,225
0,1.4674890041351318,Euclidian,0.1,205
0,0.044924259185791016,Weighted Manhattan,0.1,225
0,0.04884505271911621,Combined Chebyshev Manhattan,0.1,205
0,0.05469202995300293,Combined Chebyshev Euclidian,0.1,205
0,0.05653715133666992,Combined Manhattan Euclidian,0.1,205
0,4.13481330871582,Chebyshev,0.2,263
0,2.272592306137085,Manhattan,0.2,231
0,4.199395656585693,Euclidian,0.2,263
0,0.10433030128479004,Weighted Manhattan,0.2,231
0,0.12780332565307617,Combined Chebyshev Manhattan,0.2,263
0,0.14340472221374512,Combined Chebyshev Euclidian,0.2,263
0,0.14814209938049316,Combined Manhattan Euclidian,0.2,263
0,7.108309030532837,Chebyshev,0.30000000000000004,273
0,5.42915415763855,Manhattan,0.30000000000000004,439
0,7.495781898498535,Euclidian,0.30000000000000004,273
0,0.20026421546936035,Weighted Manhattan,0.30000000000000004,353
0,0.19513964653015137,Combined Chebyshev Manhattan,0.30000000000000004,259
0,0.212996244430542,Combined Chebyshev Euclidian,0.30000000000000004,251
0,0.22647881507873535,Combined Manhattan Euclidian,0.30000000000000004,251
0,0.15989398956298828,Chebyshev,0.0,201
0,0.14498019218444824,Manhattan,0.0,201
0,0.17796611785888672,Euclidian,0.0,201
0,0.004480838775634766,Weighted Manhattan,0.0,201
0,0.007681846618652344,Combined Chebyshev Manhattan,0.0,201
0,0.00736689567565918,Combined Chebyshev Euclidian,0.0,201
0,0.008402347564697266,Combined Manhattan Euclidian,0.0,201
0,1.6071889400482178,Chebyshev,0.1,203
0,0.5491399765014648,Manhattan,0.1,221
0,1.669745922088623,Euclidian,0.1,203
0,0.0250091552734375,Weighted Manhattan,0.1,221
0,0.05585670471191406,Combined Chebyshev Manhattan,0.1,203
0,0.058300018310546875,Combined Chebyshev Euclidian,0.1,203
0,0.05949115753173828,Combined Manhattan Euclidian,0.1,203
0,4.738297939300537,Chebyshev,0.2,233
0,3.4740049839019775,Manhattan,0.2,291
0,4.414294719696045,Euclidian,0.2,233
0,0.10946202278137207,Weighted Manhattan,0.2,295
0,0.13150572776794434,Combined Chebyshev Manhattan,0.2,233
0,0.1614389419555664,Combined Chebyshev Euclidian,0.2,233
0,0.15642714500427246,Combined Manhattan Euclidian,0.2,233
0,7.4705729484558105,Chebyshev,0.30000000000000004,433
0,4.253001928329468,Manhattan,0.30000000000000004,385
0,7.597311973571777,Euclidian,0.30000000000000004,433
0,0.15981101989746094,Weighted Manhattan,0.30000000000000004,385
0,0.2673947811126709,Combined Chebyshev Manhattan,0.30000000000000004,431
0,0.30552196502685547,Combined Chebyshev Euclidian,0.30000000000000004,431
0,0.3117198944091797,Combined Manhattan Euclidian,0.30000000000000004,431
0,0.16430401802062988,Chebyshev,0.0,201
0,0.14700794219970703,Manhattan,0.0,201
0,0.19207119941711426,Euclidian,0.0,201
0,0.004535675048828125,Weighted Manhattan,0.0,201
0,0.0064029693603515625,Combined Chebyshev Manhattan,0.0,201
0,0.007050991058349609,Combined Chebyshev Euclidian,0.0,201
0,0.007046937942504883,Combined Manhattan Euclidian,0.0,201
0,1.2687480449676514,Chebyshev,0.1,207
0,0.8226158618927002,Manhattan,0.1,217
0,1.3475477695465088,Euclidian,0.1,207
0,0.03133225440979004,Weighted Manhattan,0.1,217
0,0.04453396797180176,Combined Chebyshev Manhattan,0.1,207
0,0.04459095001220703,Combined Chebyshev Euclidian,0.1,207
0,0.04723715782165527,Combined Manhattan Euclidian,0.1,207
0,3.2184741497039795,Chebyshev,0.2,237
0,2.149541139602661,Manhattan,0.2,245
0,3.347311019897461,Euclidian,0.2,237
0,0.08466386795043945,Weighted Manhattan,0.2,245
0,0.10979890823364258,Combined Chebyshev Manhattan,0.2,237
0,0.21420907974243164,Combined Chebyshev Euclidian,0.2,237
0,0.19613218307495117,Combined Manhattan Euclidian,0.2,237
0,7.086777687072754,Chebyshev,0.30000000000000004,299
0,3.54650616645813,Manhattan,0.30000000000000004,365
0,6.729944229125977,Euclidian,0.30000000000000004,299
0,0.16161084175109863,Weighted Manhattan,0.30000000000000004,365
0,0.2006850242614746,Combined Chebyshev Manhattan,0.30000000000000004,287
0,0.23219799995422363,Combined Chebyshev Euclidian,0.30000000000000004,283
0,0.22788500785827637,Combined Manhattan Euclidian,0.30000000000000004,283
0,0.17240595817565918,Chebyshev,0.0,201
0,0.14424395561218262,Manhattan,0.0,201
0,0.17607688903808594,Euclidian,0.0,201
0,0.0054721832275390625,Weighted Manhattan,0.0,201
0,0.005981922149658203,Combined Chebyshev Manhattan,0.0,201
0,0.00796198844909668,Combined Chebyshev Euclidian,0.0,201
0,0.00670623779296875,Combined Manhattan Euclidian,0.0,201
0,1.4264910221099854,Chebyshev,0.1,209
0,1.1286389827728271,Manhattan,0.1,251
0,1.5121009349822998,Euclidian,0.1,209
0,0.04446005821228027,Weighted Manhattan,0.1,251
0,0.047647953033447266,Combined Chebyshev Manhattan,0.1,209
0,0.05534100532531738,Combined Chebyshev Euclidian,0.1,209
0,0.05440783500671387,Combined Manhattan Euclidian,0.1,209
0,4.3968589305877686,Chebyshev,0.2,229
0,1.8499720096588135,Manhattan,0.2,263
0,4.678321123123169,Euclidian,0.2,229
0,0.08676695823669434,Weighted Manhattan,0.2,263
0,0.1335737705230713,Combined Chebyshev Manhattan,0.2,229
0,0.15442490577697754,Combined Chebyshev Euclidian,0.2,229
0,0.1544818878173828,Combined Manhattan Euclidian,0.2,229
0,6.91304874420166,Chebyshev,0.30000000000000004,265
0,4.925295114517212,Manhattan,0.30000000000000004,393
0,7.409413814544678,Euclidian,0.30000000000000004,265
0,0.1940927505493164,Weighted Manhattan,0.30000000000000004,393
0,0.2369680404663086,Combined Chebyshev Manhattan,0.30000000000000004,265
0,0.2596597671508789,Combined Chebyshev Euclidian,0.30000000000000004,265
0,0.2472667694091797,Combined Manhattan Euclidian,0.30000000000000004,265
0,0.15160322189331055,Chebyshev,0.0,201
0,0.14827322959899902,Manhattan,0.0,201
0,0.18297982215881348,Euclidian,0.0,201
0,0.004540205001831055,Weighted Manhattan,0.0,201
0,0.006002187728881836,Combined Chebyshev Manhattan,0.0,201
0,0.007894039154052734,Combined Chebyshev Euclidian,0.0,201
0,0.006875753402709961,Combined Manhattan Euclidian,0.0,201
0,1.4663538932800293,Chebyshev,0.1,203
0,0.6939520835876465,Manhattan,0.1,219
0,1.4854180812835693,Euclidian,0.1,203
0,0.03003215789794922,Weighted Manhattan,0.1,219
0,0.05397486686706543,Combined Chebyshev Manhattan,0.1,203
0,0.05787181854248047,Combined Chebyshev Euclidian,0.1,203
0,0.05357694625854492,Combined Manhattan Euclidian,0.1,203
0,3.7944419384002686,Chebyshev,0.2,225
0,1.9523379802703857,Manhattan,0.2,279
0,4.144079208374023,Euclidian,0.2,225
0,0.09421801567077637,Weighted Manhattan,0.2,279
0,0.12004899978637695,Combined Chebyshev Manhattan,0.2,225
0,0.14463496208190918,Combined Chebyshev Euclidian,0.2,229
0,0.14510393142700195,Combined Manhattan Euclidian,0.2,229
0,10.244534969329834,Chebyshev,0.30000000000000004,335
0,3.75364089012146,Manhattan,0.30000000000000004,371
0,9.716481685638428,Euclidian,0.30000000000000004,335
0,0.15119004249572754,Weighted Manhattan,0.30000000000000004,371
0,0.2933380603790283,Combined Chebyshev Manhattan,0.30000000000000004,337
0,0.3682408332824707,Combined Chebyshev Euclidian,0.30000000000000004,381
0,0.3716599941253662,Combined Manhattan Euclidian,0.30000000000000004,381
0,0.16521906852722168,Chebyshev,0.0,201
0,0.14143085479736328,Manhattan,0.0,201
0,0.17888283729553223,Euclidian,0.0,201
0,0.004954814910888672,Weighted Manhattan,0.0,201
0,0.005940914154052734,Combined Chebyshev Manhattan,0.0,201
0,0.006601095199584961,Combined Chebyshev Euclidian,0.0,201
0,0.008141040802001953,Combined Manhattan Euclidian,0.0,201
0,1.5876588821411133,Chebyshev,0.1,205
0,1.2465133666992188,Manhattan,0.1,227
0,1.709899663925171,Euclidian,0.1,205
0,0.050657033920288086,Weighted Manhattan,0.1,227
0,0.057621002197265625,Combined Chebyshev Manhattan,0.1,205
0,0.06146883964538574,Combined Chebyshev Euclidian,0.1,205
